source,rule_id,severity,location,description,severity_raw,tool_code,severity_norm,suppressed,dedup_key,risk_score,priority,ART_minutes,expected_priority
SAST,Web:S6853,MAJOR,spring-petclinic:src/main/resources/templates/fragments/selectField.html:10,A form label must be associated with a control.,MAJOR,1,3,False,bbf57ec3ef7b009c01,70,HIGH,60,HIGH
SAST,Web:PageWithoutTitleCheck,MAJOR,spring-petclinic:src/main/resources/templates/fragments/inputField.html:3,Add a <title> tag to this page.,MAJOR,1,3,False,7325c0d077b606c1a2,70,HIGH,60,HIGH
SAST,java:S1066,MAJOR,spring-petclinic:src/main/java/org/springframework/samples/petclinic/owner/Owner.java:139,Merge this if statement with the enclosing one.,MAJOR,1,3,False,528ea2d7ec3d100dca,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:2897,"Unexpected duplicate selector "".dropstart .dropdown-toggle::after"", first used at line 2891",MAJOR,1,3,False,c9f2fa3706d3fa70a2,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:2881,"Unexpected duplicate selector "".dropend .dropdown-toggle::after"", first used at line 2868",MAJOR,1,3,False,a6ad2a5962bbcb4587,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9287,"Unexpected duplicate selector "".btn-primary"", first used at line 2390",MAJOR,1,3,False,1ce714a60a5e7248e4,70,HIGH,60,HIGH
SAST,css:S125,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:486,Remove this commented out code.,MAJOR,1,3,False,00cf389426d94e3597,70,HIGH,60,HIGH
SAST,Web:PageWithoutTitleCheck,MAJOR,spring-petclinic:src/main/resources/templates/pets/createOrUpdateVisitForm.html:3,Add a <title> tag to this page.,MAJOR,1,3,False,1f631f209963bb7133,70,HIGH,60,HIGH
SAST,Web:S5254,MAJOR,spring-petclinic:src/main/resources/templates/vets/vetList.html:3,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element",MAJOR,1,3,False,2318c17d370f5a1737,70,HIGH,60,HIGH
SAST,Web:PageWithoutTitleCheck,MAJOR,spring-petclinic:src/main/resources/templates/owners/ownerDetails.html:3,Add a <title> tag to this page.,MAJOR,1,3,False,474f2173f4ee2f3a2f,70,HIGH,60,HIGH
SAST,Web:S5254,MAJOR,spring-petclinic:src/main/resources/templates/error.html:3,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element",MAJOR,1,3,False,1d24e187a5c5897dc7,70,HIGH,60,HIGH
SAST,java:S112,MAJOR,spring-petclinic:src/main/java/org/springframework/samples/petclinic/system/CrashController.java:33,Replace generic exceptions with specific library exceptions or a custom exception.,MAJOR,1,3,False,bd6b5a0fb4b9deb509,70,HIGH,60,HIGH
SAST,css:S7924,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9495,Text does not meet the minimal contrast requirement with its background.,MAJOR,1,3,False,dedd7b41def542b90a,70,HIGH,60,HIGH
SAST,css:S125,MAJOR,spring-petclinic:src/main/scss/header.scss:40,Remove this commented out code.,MAJOR,1,3,False,b9dc6bfad182d1652d,70,HIGH,60,HIGH
SAST,css:S125,MAJOR,spring-petclinic:src/main/scss/typography.scss:54,Remove this commented out code.,MAJOR,1,3,False,8511f9869c74e4d754,70,HIGH,60,HIGH
SCA,SNYK-JAVA-ORGYAML-3152153,MEDIUM,org.springframework.samples:spring-petclinic@4.0.0-SNAPSHOT > org.yaml:snakeyaml@1.26,Arbitrary Code Execution,MEDIUM,3,2,False,a1d4a070b6cc0f5dd7,70,HIGH,60,MEDIUM
SAST,css:S125,MAJOR,spring-petclinic:src/main/scss/typography.scss:53,Remove this commented out code.,MAJOR,1,3,False,7f311a38233dc2f493,70,HIGH,60,HIGH
SAST,css:S7924,MAJOR,spring-petclinic:src/main/scss/header.scss:59,Text does not meet the minimal contrast requirement with its background.,MAJOR,1,3,False,d1859ded580b3c0dec,70,HIGH,60,HIGH
SAST,Web:S5256,MAJOR,spring-petclinic:src/main/resources/templates/owners/ownerDetails.html:46,"Add ""<th>"" headers to this ""<table>"".",MAJOR,1,3,False,a18f1429191c388753,70,HIGH,60,HIGH
SAST,Web:S1827,MAJOR,spring-petclinic:src/main/resources/templates/owners/ownerDetails.html:49,"Remove this deprecated ""valign"" attribute.",MAJOR,1,3,False,316cbaa44bd9f5878d,70,HIGH,60,HIGH
SAST,Web:S5254,MAJOR,spring-petclinic:src/main/resources/templates/welcome.html:3,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element",MAJOR,1,3,False,2074f3ab3d252cd049,70,HIGH,60,HIGH
SAST,Web:PageWithoutTitleCheck,MAJOR,spring-petclinic:src/main/resources/templates/welcome.html:3,Add a <title> tag to this page.,MAJOR,1,3,False,56c27693b55ac166f0,70,HIGH,60,HIGH
SAST,Web:PageWithoutTitleCheck,MAJOR,spring-petclinic:src/main/resources/templates/owners/ownersList.html:3,Add a <title> tag to this page.,MAJOR,1,3,False,c107afeef8521c3b7e,70,HIGH,60,HIGH
SAST,Web:S5254,MAJOR,spring-petclinic:src/main/resources/templates/owners/ownersList.html:3,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element",MAJOR,1,3,False,18ecb36d5305791e4b,70,HIGH,60,HIGH
SAST,Web:PageWithoutTitleCheck,MAJOR,spring-petclinic:src/main/resources/templates/error.html:3,Add a <title> tag to this page.,MAJOR,1,3,False,0958760ffd84a969c2,70,HIGH,60,HIGH
SAST,Web:S1827,MAJOR,spring-petclinic:src/main/resources/templates/owners/ownerDetails.html:59,"Remove this deprecated ""valign"" attribute.",MAJOR,1,3,False,69061de730a4d2dabf,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9399,"Unexpected duplicate selector ""hr"", first used at line 215",MAJOR,1,3,False,5fb88c08fe1e806468,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9315,"Unexpected duplicate selector ""h1, .h1"", first used at line 229",MAJOR,1,3,False,7ab1a340988dd744bc,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9306,"Unexpected duplicate selector ""code"", first used at line 348",MAJOR,1,3,False,1cab94a3d33e759459,70,HIGH,60,HIGH
